记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_08_17_17:48:45_261 255 0 2.672 0.2 0.4900,0.4277 2449 4.22E-003 584.4 75.5 655.9 81.3 91.31 0.39 142.39
1 2017_08_17_17:48:45_305 255 0 2.673 0.6 0.4904,0.4279 2446 4.24E-003 584.4 75.7 652.3 81.0 90.99 0.38 54.03
2 2017_08_17_17:48:45_343 255 0 2.675 0.3 0.4908,0.4281 2442 4.31E-003 584.4 75.9 649.5 80.8 90.33 0.38 112.56
3 2017_08_17_17:48:45_381 255 0 2.673 0.4 0.4910,0.4278 2438 4.20E-003 584.4 75.8 652.6 80.7 90.91 0.39 91.92
4 2017_08_17_17:48:45_419 255 0 2.671 0.4 0.4895,0.4285 2461 4.50E-003 584.2 75.6 649.5 81.0 90.29 0.38 86.67
5 2017_08_17_17:48:45_469 255 0 2.673 1.7 0.4906,0.4278 2443 4.21E-003 584.4 75.7 648.7 81.0 90.94 0.38 20.13
6 2017_08_17_17:48:45_507 255 0 2.671 0.7 0.4904,0.4272 2441 4.04E-003 584.5 75.5 652.5 81.3 91.13 0.39 49.45
7 2017_08_17_17:48:45_545 255 0 2.672 0.6 0.4903,0.4281 2448 4.33E-003 584.4 75.7 655.9 81.0 91.01 0.39 54.94
8 2017_08_17_17:48:45_583 255 0 2.670 0.6 0.4901,0.4281 2451 4.34E-003 584.3 75.6 649.5 81.3 90.55 0.38 61.66
9 2017_08_17_17:48:45_621 255 0 2.671 0.1 0.4902,0.4285 2452 4.47E-003 584.3 75.8 652.5 80.6 90.42 0.38 282.12
10 2017_08_17_17:48:45_659 255 0 2.672 0.6 0.4905,0.4275 2442 4.13E-003 584.4 75.6 655.8 81.3 90.88 0.39 53.98
11 2017_08_17_17:48:45_696 255 0 2.671 0.5 0.4905,0.4279 2445 4.27E-003 584.4 75.7 649.9 80.8 90.37 0.38 70.49
12 2017_08_17_17:48:45_734 255 0 2.672 0.6 0.4906,0.4282 2446 4.34E-003 584.4 75.8 652.2 81.1 90.45 0.38 61.55
13 2017_08_17_17:48:45_772 255 0 2.673 1.1 0.4905,0.4281 2446 4.33E-003 584.4 75.8 652.8 81.1 90.33 0.38 30.72
14 2017_08_17_17:48:45_810 255 0 2.672 1.7 0.4906,0.4276 2442 4.16E-003 584.4 75.6 648.5 81.0 89.94 0.38 20.16
15 2017_08_17_17:48:45_848 255 0 2.671 1.3 0.4904,0.4282 2448 4.35E-003 584.4 75.8 652.3 80.9 90.31 0.38 26.42
16 2017_08_17_17:48:45_886 255 0 2.672 0.7 0.4900,0.4278 2450 4.23E-003 584.4 75.5 652.3 81.2 90.31 0.38 50.44
17 2017_08_17_17:48:45_924 255 0 2.673 0.7 0.4909,0.4271 2434 3.97E-003 584.5 75.6 652.4 81.5 91.22 0.39 52.50
18 2017_08_17_17:48:45_962 255 0 2.674 0.3 0.4905,0.4274 2442 4.10E-003 584.4 75.5 652.3 81.5 90.57 0.39 120.96
19 2017_08_17_17:48:46_000 255 0 2.675 0.4 0.4900,0.4276 2449 4.16E-003 584.4 75.4 649.7 81.1 91.47 0.39 97.70
20 2017_08_17_17:48:46_037 255 0 2.673 0.2 0.4900,0.4283 2453 4.41E-003 584.3 75.7 652.4 80.7 90.40 0.38 187.89
21 2017_08_17_17:48:46_076 255 0 2.674 0.5 0.4903,0.4279 2447 4.26E-003 584.4 75.6 649.8 81.0 90.58 0.38 65.14
22 2017_08_17_17:48:46_113 255 0 2.671 0.7 0.4905,0.4279 2444 4.24E-003 584.4 75.7 652.2 81.1 90.30 0.38 51.22
