 记录条数:0 2017_06_07 15:10:39 338  bin号:4 晶号:0 电压(V):2.894 反向漏电流(uA):0.2 色坐标(x,y):0.2601,0.4801 相关色温(K):7734 色差:8.47E-002 主波长(nm):516.3 色纯度(%):28.4 峰值波长(nm):733.0 显色性指数:5.7 光通量(lm):1.54 辐射通量(mW):0.00 光效:0.77
 记录条数:1 2017_06_07 15:10:39 366  bin号:4 晶号:0 电压(V):2.896 反向漏电流(uA):0.2 色坐标(x,y):0.0100,0.5899 相关色温(K):15905 色差:1.97E-001 主波长(nm):502.5 色纯度(%):100.0 峰值波长(nm):689.3 显色性指数:-61.6 光通量(lm):1.45 辐射通量(mW):0.00 光效:0.77
 记录条数:2 2017_06_07 15:10:39 391  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):42400 色差:1.88E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):583.0 显色性指数:非数字 光通量(lm):1.02 辐射通量(mW):0.00 光效:0.04
 记录条数:3 2017_06_07 15:10:39 415  bin号:4 晶号:0 电压(V):2.894 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):3008 色差:6.99E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):583.2 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:4 2017_06_07 15:10:39 437  bin号:4 晶号:0 电压(V):2.895 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):583.2 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:5 2017_06_07 15:10:39 472  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):571.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:6 2017_06_07 15:10:39 496  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):571.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:7 2017_06_07 15:10:39 519  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):571.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:8 2017_06_07 15:10:39 542  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):571.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:9 2017_06_07 15:10:39 567  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):558.1 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:10 2017_06_07 15:10:39 591  bin号:4 晶号:0 电压(V):2.899 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):558.0 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
