0 2017_06_07 15:12:26 123 402.8890.30.4572,0.429229554.55E-003582.660.1759.292.62.700.012.10
1 2017_06_07 15:12:26 152 402.8970.30.4131,0.441938411.77E-002574.950.7759.363.42.300.001.66
2 2017_06_07 15:12:26 175 402.8980.30.2081,0.535587231.18E-001512.843.3695.9-84.01.670.000.89
3 2017_06_07 15:12:26 199 402.8930.31.0100,0.0100127942.02E-001769.0100.0587.5非数字1.190.000.23
4 2017_06_07 15:12:26 222 402.8920.31.0100,0.010037264.45E-001769.0100.0570.4非数字1.000.000.00
5 2017_06_07 15:12:26 258 402.8970.31.0100,0.01001001-6.56E-001769.0100.0582.5非数字1.000.000.00
6 2017_06_07 15:12:26 281 402.8930.31.0100,0.01001001-6.56E-001769.0100.0582.6非数字1.000.000.00
7 2017_06_07 15:12:26 305 402.8970.31.0100,0.01001001-6.56E-001769.0100.0582.7非数字1.000.000.00
8 2017_06_07 15:12:26 328 402.8950.21.0100,0.01001001-6.56E-001769.0100.0582.6非数字1.000.000.00
9 2017_06_07 15:12:26 352 402.8990.21.0100,0.01001001-6.56E-001769.0100.0582.6非数字1.000.000.00
10 2017_06_07 15:12:26 375 402.8960.31.0100,0.01001001-6.56E-001769.0100.0582.8非数字1.000.000.00
11 2017_06_07 15:12:26 399 402.9000.31.0100,0.01001001-6.56E-001769.0100.0582.4非数字1.000.000.00
12 2017_06_07 15:12:26 426 402.9000.31.0100,0.01001001-6.56E-001769.0100.0582.4非数字1.000.000.00
13 2017_06_07 15:12:26 452 402.8970.21.0100,0.01001001-6.56E-001769.0100.0549.6非数字1.000.000.00
14 2017_06_07 15:12:26 477 402.8970.31.0100,0.01001001-6.56E-001769.0100.0549.7非数字1.000.000.00
15 2017_06_07 15:12:26 503 402.8960.31.0100,0.01001001-6.56E-001769.0100.0549.7非数字1.000.000.00
16 2017_06_07 15:12:26 526 402.8950.31.0100,0.01001001-6.56E-001769.0100.0549.8非数字1.000.000.00
17 2017_06_07 15:12:26 550 402.8910.21.0100,0.01001001-6.56E-001769.0100.0549.7非数字1.000.000.00
18 2017_06_07 15:12:26 574 402.8910.21.0100,0.01001001-6.56E-001769.0100.0549.6非数字1.000.000.00
19 2017_06_07 15:12:26 598 402.8920.31.0100,0.01001001-6.56E-001769.0100.0549.7非数字1.000.000.00
20 2017_06_07 15:12:26 621 402.8970.31.0100,0.01001001-6.56E-001769.0100.0549.5非数字1.000.000.00
21 2017_06_07 15:12:26 644 402.8910.31.0100,0.01001001-6.56E-001769.0100.0549.4非数字1.000.000.00
22 2017_06_07 15:12:26 667 402.8920.31.0100,0.01001001-6.56E-001769.0100.0549.8非数字1.000.000.00
23 2017_06_07 15:12:26 690 402.8980.31.0100,0.01001001-6.56E-001769.0100.0549.5非数字1.000.000.00
24 2017_06_07 15:12:26 714 402.8930.21.0100,0.01001001-6.56E-001769.0100.0503.4非数字1.000.000.00
25 2017_06_07 15:12:26 738 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.4非数字1.000.000.00
26 2017_06_07 15:12:26 760 402.8960.31.0100,0.01001001-6.56E-001769.0100.0503.3非数字1.000.000.00
27 2017_06_07 15:12:26 785 402.8970.31.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
28 2017_06_07 15:12:26 807 402.9000.21.0100,0.01001001-6.56E-001769.0100.0503.2非数字1.000.000.00
29 2017_06_07 15:12:26 832 402.8930.31.0100,0.01001001-6.56E-001769.0100.0548.8非数字1.000.000.00
30 2017_06_07 15:12:26 855 402.8980.31.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
31 2017_06_07 15:12:26 878 402.8950.31.0100,0.01001001-6.56E-001769.0100.0548.8非数字1.000.000.00
32 2017_06_07 15:12:26 902 402.9030.31.0100,0.01001001-6.56E-001769.0100.0548.8非数字1.000.000.00
33 2017_06_07 15:12:26 927 402.8960.31.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
34 2017_06_07 15:12:26 950 402.8940.21.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
35 2017_06_07 15:12:26 973 402.8920.21.0100,0.01001001-6.56E-001769.0100.0548.6非数字1.000.000.00
36 2017_06_07 15:12:26 997 402.8930.31.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
37 2017_06_07 15:12:27 021 402.8920.31.0100,0.01001001-6.56E-001769.0100.0548.6非数字1.000.000.00
38 2017_06_07 15:12:27 044 402.8930.31.0100,0.01001001-6.56E-001769.0100.0548.6非数字1.000.000.00
39 2017_06_07 15:12:27 067 402.9000.21.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
40 2017_06_07 15:12:27 090 402.8980.31.0100,0.01001001-6.56E-001769.0100.0548.6非数字1.000.000.00
41 2017_06_07 15:12:27 113 402.8930.31.0100,0.01001001-6.56E-001769.0100.0548.6非数字1.000.000.00
42 2017_06_07 15:12:27 138 402.8940.31.0100,0.01001001-6.56E-001769.0100.0548.7非数字1.000.000.00
