记录条数   时间  bin号 晶号 电压(V) 反向漏电流(uA) 色坐标(x,y) 相关色温(K) 色差 主波长(nm) 色纯度(%) 峰值波长(nm) 显色性指数 光通量(lm) 辐射通量(mW) 光效 
0 2017_10_22_17:16:38_274 3 0 1.830 0.1 0.4445,0.4183 2924 5.30E-003 580.6 62.1 762.5 84.0 11.87 0.06 96.02
--            --             -- 1 2.794 0.1 0.4572,0.4242 2842 5.23E-003 581.9 64.6 701.3 86.0 9.01 0.04 64.51
--            --             -- 2 2.475 0.0 0.4476,0.4399 3100 1.21E-002 578.9 66.5 693.1 78.6 9.85 0.03 99.45
1 2017_10_22_17:16:39_381 3 0 1.828 0.1 0.4416,0.4264 3029 8.66E-003 579.2 63.7 763.7 81.7 10.31 0.05 65.30
--            --             -- 1 2.788 0.1 0.4475,0.4345 3064 1.02E-002 579.6 64.8 686.6 79.4 8.90 0.03 63.85
--            --             -- 2 2.474 0.1 0.4572,0.4332 2910 8.52E-003 580.7 67.3 545.6 82.0 9.33 0.03 37.73
2 2017_10_22_17:16:40_131 3 0 1.829 0.0 0.4318,0.4351 3248 1.34E-002 577.0 63.3 762.0 78.8 8.96 0.03 256.81
--            --             -- 1 2.789 0.1 0.4500,0.4353 3032 1.02E-002 579.7 65.8 761.9 77.8 8.69 0.03 38.93
--            --             -- 2 2.473 0.3 0.4395,0.4345 3192 1.14E-002 578.7 62.4 717.4 76.7 8.71 0.03 11.74
3 2017_10_22_17:16:40_890 3 0 1.831 0.3 0.4464,0.4241 2938 7.20E-003 580.0 64.4 729.9 80.6 9.35 0.04 16.19
--            --             -- 1 2.789 0.7 0.4441,0.4436 3181 1.40E-002 578.1 66.5 731.0 75.9 9.54 0.03 4.82
--            --             -- 2 2.473 1.0 0.4554,0.4310 2919 7.92E-003 580.8 66.1 701.3 77.8 10.15 0.04 4.15
